Relevance,Description
Strong,I have strong skills of Docker with experience of 1-3 years in the field of Retail also I have completed my education with a Bachelor's in Computer Science or a related field as well as I am proficient in using tools like Docker and AWS to solve problems in Retail.
Medium,I have intermediate skills of JavaScript with experience of 4-7 years in the field of Gaming also I have completed my education with a Bachelor's in Computer Science or a related field as well as I am proficient in using tools like Python and C++ to solve problems in Gaming.
Medium,I have intermediate skills of TensorFlow with experience of 5-8 years in the field of Education also I have completed my education with a PhD in Computer Science or a related field as well as I am proficient in using tools like Java and JavaScript to solve problems in Education.
Low,I have basic skills of Node.js with experience of 4-7 years in the field of Education also I have completed my education with a PhD in Computer Science or a related field as well as I am proficient in using tools like Python and Docker to solve problems in Education.
Strong,I have strong skills of Docker with experience of 5-8 years in the field of Gaming also I have completed my education with a Bachelor's in Computer Science or a related field as well as I am proficient in using tools like C++ and Java to solve problems in Gaming.
Low,I have intermediate skills of Node.js with experience of 5-8 years in the field of Finance also I have completed my@ education with a Bachelor's in Computer Science or a related field as well as I am proficient in using tools like JavaScript and C++ to solve problems in Finance.
Strong,I have strong skills of Node.js with experience of 3-6 years in the field of Education also I have@ completed my education with a Bachelor's in Computer Science or a related field as well as I am proficient in using tools like React and React to solve problems in Education.
Medium,I have intermediate skills of SQL with experience of 2-5 years in the field of Logistics also I have completed my education with a PhD in Computer Science or a related field as well as I am proficient in using tools like JavaScript and JavaScript to solve problems in Logistics.
Low,I have basic skills of Node.js with experience of 5-8 years in the field of Logistics also I have completed my education with a Master's in Computer Science or a related field as well as I am proficient in using tools like Docker and SQL to solve problems in Logistics.
Strong,I have strong skills of React with experience of 4-7 years in the field of Gaming also I have completed my education with a PhD in Computer Science or a related field as well as I am proficient in using tools like Docker and AWS to solve problems in Gaming.
Strong,I have strong skills of JavaScript with experience of 4-7 years in the field of Entertainment also I have completed my education with a PhD in Computer Science or a related field as well as I am proficient in using tools like SQL and C++ to solve problems in Entertainment.
Medium,I have intermediate skills of TensorFlow with experience of 2-5 years in the field of Education also I have completed my education with a Master's in Computer Science or a related field as well as I am proficient in using tools like AWS and Docker to solve problems in Education.
